Year,State,Constituency,Constituency_No,Candidate,Gender,Party,Party_Symbol,Total_Electors,Votes,Vote_Pct,Margin,Category
1957,Andhra Pradesh,Cuddapah,19.0,V. Rami Reddy,Male,Indian National Congress,INC,456005.0,197562.0,43.32,6256.0,GEN
1957,Andhra Pradesh,Eluru,8.0,Kumari Mothey Veda Kumari,Male,Indian National Congress,INC,418227.0,225340.0,53.88,5220.0,GEN
1957,Andhra Pradesh,Golugonda,4.0,Missula Suryanarayana Murthy / Kankipati Veeranna Padal,Male,Indian National Congress,INC,820319.0,493010.0,30.05,0.0,GEN
1957,Andhra Pradesh,Gudivada,9.0,Duggirala Balarama Krishnaiah,Male,Indian National Congress,INC,458205.0,284126.0,62.01,27620.0,GEN
1957,Andhra Pradesh,Guntur,13.0,K. Raghuramayya,Male,Indian National Congress,INC,505891.0,267579.0,52.89,58955.0,GEN
1957,Andhra Pradesh,Hindupur,21.0,K. V. Ramakrishna Reddy,Male,Indian National Congress,INC,401230.0,109671.0,27.33,26488.0,GEN
1957,Andhra Pradesh,Hyderabad,25.0,Vinayak Rao,Male,Indian National Congress,INC,283749.0,116614.0,41.1,57358.0,GEN
1957,Andhra Pradesh,Kakinada,6.0,B. S. Murthy / Mosalakanti Tirumala Rao,Male,Indian National Congress,INC,903182.0,745933.0,41.29,0.0,GEN
1957,Andhra Pradesh,Karimnagar,31.0,M. Sri Ranga Rao / M. R. Krishna,Male,Indian National Congress,INC,748201.0,732963.0,48.98,0.0,GEN
1957,Andhra Pradesh,Khammam,34.0,Vittal Rao,Male,Puducherry Democratic Front,TRS,376471.0,240837.0,63.97,5537.0,GEN
1957,Andhra Pradesh,Kurnool,23.0,Osman Ali Khan,Male,Indian National Congress,INC,422547.0,103268.0,24.44,67279.0,GEN
1957,Andhra Pradesh,Mahbubabad,33.0,E. Madhusudhan Rao,Male,Indian National Congress,INC,372879.0,200672.0,53.82,7256.0,GEN
1957,Andhra Pradesh,Mahbubnagar,24.0,J. Rameshwar Rao / Puli Rama Swamy,Male,Indian National Congress,INC,769063.0,646819.0,42.05,0.0,GEN
1957,Andhra Pradesh,Markapur,15.0,Chegireddi Bali Reddy,Male,Indian National Congress,INC,438204.0,170026.0,38.8,18805.0,GEN
1957,Andhra Pradesh,Masulipatnam,11.0,Mandali Venkata Krishna Rao,Male,Indian National Congress,INC,438973.0,258626.0,58.92,7551.0,GEN
1957,Andhra Pradesh,Medak,28.0,P. Hanmanth Rao,Male,Indian National Congress,INC,378686.0,189121.0,49.94,23901.0,GEN
1957,Andhra Pradesh,Nalgonda,35.0,D. Venkateswar Rao / D. Rajiah,Male,Puducherry Democratic Front,TRS,795291.0,859439.0,54.03,0.0,GEN
1957,Andhra Pradesh,Narsapur,7.0,Uddiraju Ramam,Male,Communist Party of India,CPI,457723.0,260037.0,56.81,35465.0,GEN
1957,Andhra Pradesh,Nellore,16.0,Rebala Lakshmi Narasa Reddy / B. Anjanappa,Male,Indian National Congress,INC,879574.0,621871.0,35.35,0.0,GEN
1957,Andhra Pradesh,Nizamabad,29.0,Harish Chandra Heda,Male,Indian National Congress,INC,402088.0,183763.0,45.7,37529.0,GEN
1957,Andhra Pradesh,Ongole,14.0,Ronda Narapa Reddy,Male,Indian National Congress,INC,477593.0,248545.0,52.04,24619.0,GEN
1957,Andhra Pradesh,Parvathipuram,2.0,B. Satyanarayana / Dippala Suri Dora,Male,Indian National Congress,INC,827104.0,494403.0,29.89,0.0,GEN
1957,Andhra Pradesh,Rajahmundry,5.0,D. Satyanarayana Raju,Male,Indian National Congress,INC,430056.0,0.0,0.0,0.0,GEN
1957,Andhra Pradesh,Rajampet,18.0,T. N. Viswanath Reddy,Male,Indian National Congress,INC,417694.0,0.0,0.0,0.0,GEN
1957,Andhra Pradesh,Secunderabad,26.0,Ahmed Mohiuddin,Male,Indian National Congress,INC,341797.0,147258.0,43.08,49148.0,GEN
1957,Andhra Pradesh,Srikakulam,1.0,Boddepalli Rajagopala Rao,Male,Indian National Congress,INC,416861.0,153238.0,36.76,16356.0,GEN
1957,Andhra Pradesh,Tenali,12.0,N. G. Ranga,Male,Indian National Congress,INC,460055.0,271205.0,58.95,28417.0,GEN
1957,Andhra Pradesh,Vicarabad,27.0,Sangam Lakshmi Bai,Female,Indian National Congress,INC,393492.0,0.0,0.0,0.0,GEN
1957,Andhra Pradesh,Vijayawada,10.0,Komarraju Achamamba,Female,Indian National Congress,INC,406776.0,239762.0,58.94,2088.0,GEN
1957,Andhra Pradesh,Visakhapatnam,3.0,Pusapati Vijayarama Gajapathi Raju,Male,Independent,IND,371425.0,136779.0,36.83,61114.0,GEN
1957,Andhra Pradesh,Warangal,32.0,Sadat Ali Khan,Male,Indian National Congress,INC,343246.0,199543.0,58.13,14955.0,GEN
1957,Madhya Pradesh,Balaghat,17.0,Chintaman Dhivruji,Male,Indian National Congress,INC,372502.0,179281.0,54.62,97932.0,GEN
1957,Madhya Pradesh,Baloda Bazar,21.0,Minimata,Female,Indian National Congress,INC,822256.0,530385.0,26.18,138872.0,GEN
1957,Madhya Pradesh,Bastar,19.0,Surti Kistaiya,Male,Indian National Congress,INC,370085.0,182645.0,77.18,140961.0,GEN
1957,Madhya Pradesh,Bhopal,10.0,Maimoona Sultan,Female,Indian National Congress,INC,427607.0,196698.0,41.25,81134.0,GEN
1957,Madhya Pradesh,Bilaspur,24.0,Reshamlal,Male,Indian National Congress,INC,394210.0,137817.0,42.42,58456.0,GEN
1957,Madhya Pradesh,Chhindwara,15.0,Bhikulal Lakhmichand,Male,Indian National Congress,INC,765324.0,509047.0,26.9,136931.0,GEN
1957,Madhya Pradesh,Durg,18.0,Mohanlal Bakliwal,Male,Indian National Congress,INC,415827.0,171789.0,49.92,85756.0,GEN
1957,Madhya Pradesh,Guna,3.0,Vijaya Raje Scindia,Female,Indian National Congress,INC,441820.0,177099.0,66.96,118578.0,GEN
1957,Madhya Pradesh,Gwalior,1.0,Radha Charan,Male,Indian National Congress,INC,810838.0,639278.0,21.13,135081.0,GEN
1957,Madhya Pradesh,Hoshangabad,13.0,Bagdi Maganlal Radhakishan,Male,Indian National Congress,INC,350094.0,144358.0,58.78,84857.0,GEN
1957,Madhya Pradesh,Indore,8.0,Khadiwala Kanhaiyalal,Male,Indian National Congress,INC,357132.0,163844.0,62.61,102589.0,GEN
1957,Madhya Pradesh,Jabalpur,12.0,Seth Govinddas Diwan Bahadur Seth Jeewandas,Male,Indian National Congress,INC,336417.0,144898.0,58.81,85212.0,GEN
1957,Madhya Pradesh,Janjgir,23.0,Amarsingh Saigal,Male,Indian National Congress,INC,410835.0,124089.0,52.82,65542.0,GEN
1957,Madhya Pradesh,Jhabua,7.0,Amarsingh,Male,Indian National Congress,INC,374691.0,138510.0,53.54,74165.0,GEN
1957,Madhya Pradesh,Khajuraho,27.0,Motilal Malviya,Male,Indian National Congress,INC,771940.0,536011.0,27.02,144834.0,GEN
1957,Madhya Pradesh,Mandasur,6.0,Manaklal,Male,Indian National Congress,INC,362466.0,156234.0,49.93,78014.0,GEN
1957,Madhya Pradesh,Mandla,16.0,Mangrubabu Uike,Male,Indian National Congress,INC,366868.0,0.0,0.0,0.0,GEN
1957,Madhya Pradesh,Nimar,9.0,Varma Ramsingh,Male,Indian National Congress,INC,395767.0,154238.0,47.45,73180.0,GEN
1957,Madhya Pradesh,Nimar (Khandwa),14.0,Babulal Surajmani,Male,Indian National Congress,INC,384697.0,201869.0,63.17,127526.0,GEN
1957,Madhya Pradesh,Raipur,20.0,Raja Birendra Bahadur Singh,Male,Indian National Congress,INC,799936.0,634680.0,30.38,192833.0,GEN
1957,Madhya Pradesh,Rewa,26.0,Shiva Datta,Male,Indian National Congress,INC,395851.0,140385.0,29.74,41745.0,GEN
1957,Madhya Pradesh,Sagar,11.0,Jawala Prasad Jyotishi,Male,Indian National Congress,INC,752447.0,564508.0,35.28,199147.0,GEN
1957,Madhya Pradesh,Shahdol,25.0,Anand Chandra Joshi,Male,Indian National Congress,INC,784252.0,384145.0,23.04,88492.0,GEN
1957,Madhya Pradesh,Shajapur,4.0,Liladhar,Male,Indian National Congress,INC,778985.0,596213.0,23.78,141755.0,GEN
1957,Madhya Pradesh,Shiv Puri,2.0,Brijnarain,Male,Hindu Mahasabha,Tree,399872.0,173613.0,53.36,92646.0,GEN
1957,Madhya Pradesh,Surguja,22.0,Sharan Singh Ju Deo,Male,Indian National Congress,INC,780916.0,462295.0,32.68,151100.0,GEN
1957,Madhya Pradesh,Ujjain,5.0,Vyas Radhelal Beharilal,Male,Indian National Congress,INC,386502.0,170293.0,61.42,104601.0,GEN
1958,Kerala,Quilon,67.0,P. K. Vasudevan Nair,Male,Independent,IND,81600.0,0.0,54.1,0.0,GEN
1958,Kerala,Quilon (Kollam),0.0,K.R. Narayanan,Male,Independent,IND,340000.0,0.0,55.0,0.0,GEN
1959,Kerala,Kozhikode,0.0,A.K. Gopalan,Male,Independent,IND,350000.0,0.0,57.0,0.0,GEN
1961,Delhi,New Delhi,1.0,Sucheta Kriplani,Female,Independent,IND,450000.0,237600.0,52.8,28450.0,GEN
1961,Kerala,Kozhikode,4.0,A.K. Gopalan,Male,Independent,IND,370000.0,0.0,57.0,0.0,GEN
1961,Kerala,Manjeshwar,1.0,P. M. Aboobacker,Male,Independent,IND,68500.0,0.0,51.6,0.0,GEN
1962,Andhra Pradesh,Adilabad,36.0,G. Narayan Reddy,Male,Indian National Congress,INC,365909.0,210032.0,58.86,5912.0,GEN
1962,Andhra Pradesh,Adoni,27.0,Pendekanti Venkatasubbaiah,Male,Indian National Congress,INC,447623.0,240004.0,51.63,39244.0,GEN
1962,Andhra Pradesh,Amalapuram,9.0,Bayya Suryanarayana Murthy,Male,Indian National Congress,INC,478247.0,325773.0,70.41,12570.0,GEN
1962,Andhra Pradesh,Anakapalli,5.0,Missula Suryanarayana Murthy,Male,Indian National Congress,INC,427862.0,255307.0,62.03,16010.0,GEN
1962,Andhra Pradesh,Anantapur,25.0,Osman Ali Khan,Male,Indian National Congress,INC,469211.0,290409.0,65.1,27251.0,GEN
1962,Andhra Pradesh,Cheepurupalli,3.0,Ravu Venkata Gopalakrishna Ranga Rao,Male,Indian National Congress,INC,410167.0,260106.0,65.85,24964.0,GEN
1962,Andhra Pradesh,Chittoor,22.0,Madabhusi Ananthasayanam Ayyangar,Male,Indian National Congress,INC,437788.0,287214.0,67.65,23964.0,GEN
1962,Andhra Pradesh,Cuddapah,24.0,Yeddula Eswara Reddy,Male,Communist Party of India,CPI,458976.0,360955.0,63.6,18435.0,GEN
1962,Andhra Pradesh,Eluru,11.0,Viramachaneni Vimaladevi,Female,Communist Party of India,CPI,470098.0,335961.0,73.16,1469.0,GEN
1962,Andhra Pradesh,Gadwal,29.0,Janumpally Rameshwar Rao,Male,Indian National Congress,INC,434287.0,259503.0,50.46,29452.0,GEN
1962,Andhra Pradesh,Gudivada,12.0,Manganti Ankineedu,Male,Indian National Congress,INC,493266.0,380787.0,78.76,16734.0,GEN
1962,Andhra Pradesh,Guntur,16.0,Kotha Raghu Ramaiah,Male,Indian National Congress,INC,516008.0,355564.0,71.47,99942.0,GEN
1962,Andhra Pradesh,Hindupur,26.0,K.V. Ramakrishna Reddy,Male,Indian National Congress,INC,455308.0,250973.0,54.29,46188.0,GEN
1962,Andhra Pradesh,Hyderabad,31.0,Gopal S. Melkote,Male,Indian National Congress,INC,361095.0,171631.0,55.01,51287.0,GEN
1962,Andhra Pradesh,Kakinada,8.0,Mosalakanti Tirumala Rao,Male,Indian National Congress,INC,454089.0,316290.0,71.48,18684.0,GEN
1962,Andhra Pradesh,Karimnagar,37.0,Juvvadi Ramapathi Rao,Male,Indian National Congress,INC,748201.0,237421.0,48.98,0.0,GEN
1962,Andhra Pradesh,Kavali,19.0,Bezwada Gopala Reddy,Male,Indian National Congress,INC,478746.0,321496.0,69.03,27963.0,GEN
1962,Andhra Pradesh,Khammam,41.0,T. Lakshikantamma,Female,Puducherry Democratic Front,TRS,376471.0,329081.0,63.97,5537.0,GEN
1962,Andhra Pradesh,Kurnool,28.0,Yasoda Reddy,Male,Indian National Congress,INC,462910.0,286002.0,55.83,33718.0,GEN
1962,Andhra Pradesh,Mahbubabad,40.0,Etikala Madhusudhan Rao,Male,Puducherry Democratic Front,INC,372879.0,277969.0,53.82,7256.0,GEN
1962,Andhra Pradesh,Mahbubnagar,30.0,J.B. Mutyal Rao,Male,Indian National Congress,INC,434287.0,191012.0,50.46,29452.0,GEN
1962,Andhra Pradesh,Markapur,18.0,Gujjula Yellamanda Reddy,Male,Communist Party of India,CPI,474652.0,299620.0,65.35,26827.0,GEN
1962,Andhra Pradesh,Masulipatnam,14.0,Mandali Venkataswamy,Male,Independent,IND,475481.0,348302.0,74.94,4212.0,GEN
1962,Andhra Pradesh,Medak,34.0,P. Hanumantha Rao,Male,Indian National Congress,INC,389517.0,194870.0,58.77,25966.0,GEN
1962,Andhra Pradesh,Miryalguda,43.0,Laxmi Dass,Male,Swatantra Party,SWA,382944.0,278793.0,55.23,16428.0,GEN
1962,Andhra Pradesh,Nalgonda,42.0,Ravi Narayana Reddy,Male,Indian National Congress,INC,795291.0,284894.0,54.03,0.0,GEN
1962,Andhra Pradesh,Narasapur,10.0,Datla Balarama Raju,Male,Indian National Congress,INC,478392.0,363473.0,77.2,14669.0,GEN
1962,Andhra Pradesh,Narsipatnam,6.0,Matcharasa Matcharaju,Male,Indian National Congress,INC,407319.0,192986.0,49.48,1347.0,GEN
1962,Andhra Pradesh,Nellore,20.0,B. Anjanappa,Male,Indian National Congress,INC,480699.0,336089.0,71.59,71905.0,GEN
1962,Andhra Pradesh,Nizamabad,35.0,H.C. Heda,Male,Indian National Congress,INC,401888.0,234011.0,59.55,37529.0,GEN
1962,Andhra Pradesh,Ongole,17.0,Madala Narayanaswamy,Male,Communist Party of India,CPI,513758.0,320319.0,64.47,2343.0,GEN
1962,Andhra Pradesh,Parvathipuram,2.0,Biddika Satyanarayana,Male,Indian National Congress,INC,420816.0,223878.0,56.12,39372.0,GEN
1962,Andhra Pradesh,Peddapalli,38.0,M.R. Krishna,Male,Indian National Congress,INC,748201.0,215101.0,48.98,0.0,GEN
1962,Andhra Pradesh,Rajahmundry,7.0,Datla Satyanarayana Raju,Male,Indian National Congress,INC,450040.0,318487.0,73.03,123374.0,GEN
1962,Andhra Pradesh,Rajampeta,23.0,C.L. Narasimha Reddy,Male,Indian National Congress,INC,442554.0,292769.0,67.86,24122.0,GEN
1962,Andhra Pradesh,Secunderabad,32.0,Ahmed Mohiuddin,Male,Indian National Congress,INC,372644.0,191970.0,55.59,18846.0,GEN
1962,Andhra Pradesh,Srikakulam,1.0,Boddipalli Rajagopala Rao,Male,Indian National Congress,INC,443080.0,263343.0,61.81,31815.0,GEN
1962,Andhra Pradesh,Tenali,15.0,Kolla Venkaiah,Male,Communist Party of India,CPI,479831.0,355537.0,75.89,23927.0,GEN
1962,Andhra Pradesh,Tirupati,21.0,C. Dass,Male,Indian National Congress,INC,383042.0,222030.0,59.79,17048.0,GEN
1962,Andhra Pradesh,Vicarabad,33.0,Sangam Lakshmi Bai,Female,Indian National Congress,INC,393492.0,208107.0,0.0,0.0,GEN
1962,Andhra Pradesh,Vijayawada,13.0,K.L. Rao,Male,Indian National Congress,INC,449300.0,348802.0,78.99,22983.0,GEN
1962,Andhra Pradesh,Visakhapatnam,4.0,Vijaya Ananda,Male,Indian National Congress,INC,397925.0,227704.0,59.06,91142.0,GEN
1962,Andhra Pradesh,Warangal,39.0,Bakar Ali Mirza,Male,Indian National Congress,INC,343246.0,243446.0,58.13,14955.0,GEN
1962,Bihar,Aurangabad,95.0,Lalita Rajya Laxmi,Male,Swatantra Party,SWA,409761.0,171280.0,41.8,171300.0,GEN
1962,Bihar,Bagaha,56.0,Kamal Nath Tewari,Male,Indian National Congress,INC,385005.0,188652.0,49.0,188598.0,GEN
1962,Bihar,Banka,82.0,Shakuntala Devi,Female,Indian National Congress,INC,412008.0,164803.0,40.0,164957.0,GEN
1962,Bihar,Barh,89.0,Tarkeshwari Sinha,Male,Indian National Congress,INC,377162.0,191598.0,50.8,191615.0,GEN
1962,Bihar,Begusarai,87.0,Mathura Prasad Mishra,Male,Indian National Congress,INC,404740.0,216940.0,53.6,216821.0,GEN
1962,Bihar,Bettiah,58.0,Bhola Raut,Male,Indian National Congress,INC,380043.0,145556.0,38.3,145637.0,GEN
1962,Bihar,Bhagalpur,83.0,Bhagwat Jha Azad,Male,Indian National Congress,INC,436725.0,212685.0,48.7,212747.0,GEN
1962,Bihar,Bikramganj,93.0,Ram Subhag Singh,Male,Indian National Congress,INC,423247.0,235325.0,55.6,235421.0,GEN
1962,Bihar,Buxar,92.0,Anant Prasad Sharma,Male,Indian National Congress,INC,453468.0,233989.0,51.6,234087.0,GEN
1962,Bihar,Chapra,61.0,Ramsekhar Prasad Singh,Male,Indian National Congress,INC,459344.0,228293.0,49.7,228117.0,GEN
1962,Bihar,Chatra,99.0,Vijaya Raje,Male,Swatantra Party,SWA,379753.0,148483.0,39.1,148344.0,GEN
1962,Bihar,Darbhanga,72.0,Shree Narayan Das,Male,Indian National Congress,INC,487848.0,201969.0,41.4,201729.0,GEN
1962,Bihar,Dhanbad,101.0,P. R. Chakravarti,Male,Indian National Congress,INC,451555.0,207263.0,45.9,207276.0,GEN
1962,Bihar,Dumka,81.0,Satya Chandra Besra,Male,Indian National Congress,INC,399218.0,140923.0,35.3,140848.0,GEN
1962,Bihar,Gaya,98.0,Brajeshwar Prasad,Male,Indian National Congress,INC,337429.0,168714.0,50.0,168595.0,GEN
1962,Bihar,Giridih,100.0,Thakur Bateshwar Singh,Male,Swatantra Party,SWA,374463.0,129189.0,34.5,129147.0,GEN
1962,Bihar,Godda,80.0,Prabhudayal Himmatsingka,Male,Indian National Congress,INC,395448.0,193374.0,48.9,193437.0,GEN
1962,Bihar,Gopalganj,59.0,Dwaika Nath Tiwari,Male,Indian National Congress,INC,422101.0,205141.0,48.6,204989.0,GEN
1962,Bihar,Hajipur,64.0,Rajeshwar Patel,Male,Indian National Congress,INC,421299.0,259941.0,61.7,259738.0,GEN
1962,Bihar,Hazari Bagh,102.0,Basant Narain Singh,Male,Swatantra Party,SWA,395311.0,126894.0,32.1,127042.0,GEN
1962,Bihar,Jahanabad,96.0,Satyabhama Devi,Female,Indian National Congress,INC,436653.0,231862.0,53.1,231636.0,GEN
1962,Bihar,Jainagar,69.0,Yamuna Prasad Mandal,Male,Indian National Congress,INC,471460.0,213571.0,45.3,213516.0,GEN
1962,Bihar,Jamshedpur,104.0,Udaikar Mishra,Male,Communist Party of India,CPI,435297.0,181954.0,41.8,181726.0,GEN
1962,Bihar,Jamui,85.0,Nayantara Das,Male,Indian National Congress,INC,408420.0,211969.0,51.9,211878.0,GEN
1962,Bihar,Katihar,78.0,Priya Gupta,Male,Praja Socialist Party,PSP,451056.0,190796.0,42.3,190900.0,GEN
1962,Bihar,Kesaria,63.0,Bhishma Prasad Yadava,Male,Indian National Congress,INC,389402.0,170947.0,43.9,171090.0,GEN
1962,Bihar,Khagaria,86.0,Jiyalal Mandal,Male,Indian National Congress,INC,431546.0,231740.0,53.7,231667.0,GEN
1962,Bihar,Kishanganj,76.0,Mohammad Tahir,Male,Indian National Congress,INC,486140.0,192997.0,39.7,193111.0,GEN
1962,Bihar,Lohardaga,107.0,David Munzni,Male,Swatantra Party,SWA,368021.0,139847.0,38.0,139811.0,GEN
1962,Bihar,Madhubani,70.0,Yogendra Jha,Male,Praja Socialist Party,PSP,427660.0,208270.0,48.7,208348.0,GEN
1962,Bihar,Maharajganj,62.0,Krishnakanta Singh,Male,Indian National Congress,INC,401654.0,171104.0,42.6,170942.0,GEN
1962,Bihar,Mahua,65.0,Chandramani Lal Choudhary,Male,Indian National Congress,INC,447690.0,222054.0,49.6,221987.0,GEN
1962,Bihar,Monghyr,84.0,Banarsi Prasad Sinha,Male,Indian National Congress,INC,374823.0,201279.0,53.7,201355.0,GEN
1962,Bihar,Motihari,57.0,Bibhuti Mishra,Male,Indian National Congress,INC,379579.0,182577.0,48.1,182534.0,GEN
1962,Bihar,Muzaffarpur,66.0,Digvijoy Narain Singh,Male,Indian National Congress,INC,464546.0,224840.0,48.4,224877.0,GEN
1962,Bihar,Nalanda,88.0,Sidheshwar Prasad,Male,Indian National Congress,INC,453708.0,228215.0,50.3,228036.0,GEN
1962,Bihar,Nawada,97.0,Ramdhani Das,Male,Indian National Congress,INC,420933.0,203310.0,48.3,203376.0,GEN
1962,Bihar,Palamau,108.0,Shashank Manjari,Male,Swatantra Party,SWA,386107.0,146334.0,37.9,146465.0,GEN
1962,Bihar,Patna,90.0,Ramdulari Devi,Female,Indian National Congress,INC,400456.0,233065.0,58.2,232856.0,GEN
1962,Bihar,Pupri,68.0,Sashiranjan Prasad Sah,Male,Indian National Congress,INC,415653.0,234843.0,56.5,234633.0,GEN
1962,Bihar,Purnea,77.0,Phani Gopal Sen Gupta,Male,Indian National Congress,INC,503100.0,224885.0,44.7,224636.0,GEN
1962,Bihar,Rajmahal,79.0,Iswar Marandi,Male,Jharkhand Party,Cock,389321.0,149499.0,38.4,149409.0,GEN
1962,Bihar,Ranchi East,103.0,Prashanta Kumar Ghosh,Male,Swatantra Party,SWA,373768.0,142405.0,38.1,142294.0,GEN
1962,Bihar,Ranchi West,106.0,Jaipal Singh,Male,Jharkhand Party,Cock,421139.0,210990.0,50.1,211113.0,GEN
1962,Bihar,Rosera,73.0,Rameshwar Sahu,Male,Indian National Congress,INC,431956.0,186173.0,43.1,185973.0,GEN
1962,Bihar,Saharsa,74.0,Bhupendra Narayan Mandal,Male,Socialist Party,Tree,426782.0,206562.0,48.4,206752.0,GEN
1962,Bihar,Samastipur,71.0,Satya Naryan Sinha,Male,Indian National Congress,INC,383747.0,208374.0,54.3,208396.0,GEN
1962,Bihar,Sasaram,94.0,Jagjivan Ram,Male,Indian National Congress,INC,416753.0,261720.0,62.8,261839.0,GEN
1962,Bihar,Shahabad,91.0,Bali Ram Bhagat,Male,Indian National Congress,INC,415615.0,224847.0,54.1,224985.0,GEN
1962,Bihar,Singhbhum,105.0,Haricharan Soy,Male,Jharkhand Party,Cock,413797.0,134484.0,32.5,134415.0,GEN
1962,Bihar,Sitamarhi,67.0,Nagindra Pd. Yadab,Male,Indian National Congress,INC,455960.0,248954.0,54.6,249150.0,GEN
